country,mcnumber
United States,13436
Australia,1028
Austria,200
Belgium,106
Canada,1462
Czech Republic,113
France,1536
Germany,1425
Ireland,94
Italy,669
Netherlands,262
New Zealand,168
Poland,517
Spain,580
Swiss,176
United Kingdom,1397
Ukraine,107
India,512
Indonesia,279
Malaysia,341
Philippines,705
Singapore,143
Taiwan,409
Thailand,227
China,4978
Hong Kong,250
Japan,2968
Denmark,99
Hungary,111
Israel,219
Romania,96
Sweden,195
Argentina,221
Brazil,1084
Chile,93
Guatemala,105
Mexico,366
Puerto Rico,95
Venezuela,98
Egypt,176
Saudi Arabia,371
South Africa,346
Turkey,243
United Emirates of Arabia,194
South Korea,399
