country,pop2023,obesityRatesByCountry_obesityRate
Argentina,45773884,28.3
Australia,26439111,29
Austria,8958960,20.1
Belgium,11686140,22.1
Brazil,216422446,22.1
Canada,38781291,29.4
Chile,19629590,28
China,1425671352,6.2
Czech Republic,10495295,26
Denmark,5910913,19.7
Egypt,112716598,32
France,64756584,21.6
Germany,83294633,22.3
Guatemala,18092026,21.2
Hungary,10156239,26.4
India,1428627663,3.9
Indonesia,277534122,6.9
Israel,9174520,26.1
Italy,58870762,19.9
Japan,123294513,4.3
Malaysia,34308525,15.6
Mexico,128455567,28.9
Netherlands,17618299,20.4
New Zealand,5228100,30.8
Norway,5474360,23.1
Philippines,117337368,6.4
Poland,41026067,23.1
Romania,19892812,22.5
Saudi Arabia,36947025,35.4
Singapore,6014723,6.1
Somalia,18143378,8.3
South Africa,60414495,28.3
South Korea,51784059,4.7
Spain,47519628,23.8
Sweden,10612086,20.6
Switzerland,8796669,19.5
Thailand,71801279,10
Turkey,85816199,32.1
Ukraine,36744634,24.1
United Arab Emirates,9516871,31.7
United Kingdom,67736802,27.8
United States,339996563,36.2
Venezuela,28838499,25.6
